addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"DÓZSA GY U. 36/A, ABA, Magyarország, 8127",COOP,,ABA,Magyarország,,{'@spider': 'coop_dac'},,47.0074912,18.5474248,306/K ABC,,,8127,1001594,,https://coop.hu/uzlet/1001594,,https://coop.hu/
"DÓZSA GYÖRGY ÚT 48/B., ABA, Magyarország, 8121",COOP,,ABA,Magyarország,,{'@spider': 'coop_dac'},,47.006263,18.5486665,FAMILIA VEGYESKERESKEDÉS,,,8121,1035542,,https://coop.hu/uzlet/1035542,,https://coop.hu/
"KÁLVIN JÁNOS UTCA 10., ABA, Magyarország, 8127",COOP,,ABA,Magyarország,,{'@spider': 'coop_dac'},,47.0328723,18.5171986,SÁRKÖZI ABC,,,8127,1027198,,https://coop.hu/uzlet/1027198,,https://coop.hu/
"RÁKÓCZI U. 13., ABA, Magyarország, 8127",COOP,,ABA,Magyarország,,{'@spider': 'coop_dac'},,47.0316682,18.5247799,BALOGH CENTER,,,8127,1008723,,https://coop.hu/uzlet/1008723,,https://coop.hu/
"RÁKÓCZI U. 4, ABA, Magyarország, 8127",COOP,,ABA,Magyarország,,{'@spider': 'coop_dac'},,47.0311137,18.5243518,301/K  ÉLELMISZERBOLT,,,8127,1001593,,https://coop.hu/uzlet/1001593,,https://coop.hu/
"ISTVÁN KIR. ÚT 14., ABÁDSZALÓK, Magyarország, 5241",COOP,,ABÁDSZALÓK,Magyarország,,{'@spider': 'coop_dac'},,47.4646553,20.5888687,920. ABC,,,5241,1007504,,https://coop.hu/uzlet/1007504,,https://coop.hu/
"FÔ TÉR 51., ABASÁR, Magyarország, 3261",COOP,,ABASÁR,Magyarország,,{'@spider': 'coop_dac'},,47.794145,20.0010754,30.SZ.COOP ABC,,,3261,1032681,,https://coop.hu/uzlet/1032681,,https://coop.hu/
"FŐ ÚT 166., ABASÁR, Magyarország, 3261",COOP,,ABASÁR,Magyarország,,{'@spider': 'coop_dac'},,47.803365,20.010151,39.SZ. COOP ABC,,,3261,1038012,,https://coop.hu/uzlet/1038012,,https://coop.hu/
"RÁKÓCZI U.23., ABAÚJKÉR, Magyarország, 3882",COOP,,ABAÚJKÉR,Magyarország,,{'@spider': 'coop_dac'},,48.304539,21.199963,4. SZ. MINI COOP ABC,,,3882,1002627,,https://coop.hu/uzlet/1002627,,https://coop.hu/
"JÁSZAY TÉR 8., ABAÚJSZÁNTÓ, Magyarország, 3881",COOP,,ABAÚJSZÁNTÓ,Magyarország,,{'@spider': 'coop_dac'},,48.2809756,21.1866215,8. SZ.  COOP ABC,,,3881,1002639,,https://coop.hu/uzlet/1002639,,https://coop.hu/
"BÉCSI U. 65/B., ABDA, Magyarország, 9151",COOP,,ABDA,Magyarország,,{'@spider': 'coop_dac'},,47.69622,17.5442041,710. SZ. COOP ABC,,,9151,1020739,,https://coop.hu/uzlet/1020739,,https://coop.hu/
"MAGYAR ÚT 1., ABOD, Magyarország, 3753",COOP,,ABOD,Magyarország,,{'@spider': 'coop_dac'},,48.3922979,20.792939,1. SZ. ABC,,,3753,1043109,,https://coop.hu/uzlet/1043109,,https://coop.hu/
"KOSSUTH TÉR 10-11., ABONY, Magyarország, 2740",COOP,,ABONY,Magyarország,,{'@spider': 'coop_dac'},,47.188891,20.0066469,229. SZ. COOP SZUPER ABONY,,,2740,1000741,,https://coop.hu/uzlet/1000741,,https://coop.hu/
"PATAK U. 1., ÁBRAHÁMHEGY, Magyarország, 8256",COOP,,ÁBRAHÁMHEGY,Magyarország,,{'@spider': 'coop_dac'},,46.8150511,17.5702511,311 COOP MINI ÁBRAHÁMHEGY,,,8256,1038076,,https://coop.hu/uzlet/1038076,,https://coop.hu/
"FŐ U. 7., ÁCS, Magyarország, 2941",COOP,,ÁCS,Magyarország,,{'@spider': 'coop_dac'},,47.709466,18.014905,COOP MINI,,,2941,1028942,,https://coop.hu/uzlet/1028942,,https://coop.hu/
"BÉKE U. 4., ACSÁD, Magyarország, 9746",COOP,,ACSÁD,Magyarország,,{'@spider': 'coop_dac'},,47.3239605,16.7338434,220. SZ. ABC,,,9746,1003322,,https://coop.hu/uzlet/1003322,,https://coop.hu/
"FŐ U. 66, ACSALAG, Magyarország, 9168",COOP,,ACSALAG,Magyarország,,{'@spider': 'coop_dac'},,47.676178,17.197828,68. SZ. ABC,,,9168,1003102,,https://coop.hu/uzlet/1003102,,https://coop.hu/
"KOSSUTH U. 49/A, ÁCSTESZÉR, Magyarország, 2887",COOP,,ÁCSTESZÉR,Magyarország,,{'@spider': 'coop_dac'},,47.4065662,18.00562,COOP ABC,,,2887,1004759,,https://coop.hu/uzlet/1004759,,https://coop.hu/
"KOSSUTH U. 2., ADÁCS, Magyarország, 3292",COOP,,ADÁCS,Magyarország,,{'@spider': 'coop_dac'},,47.6914361,19.9747912,151. SZ. ABC,,,3292,1032659,,https://coop.hu/uzlet/1032659,,https://coop.hu/
"ÁRPÁD U. 4, ÁDÁND, Magyarország, 8653",COOP,,ÁDÁND,Magyarország,,{'@spider': 'coop_dac'},,46.8583939,18.161651,30. SZ. ÉLELMISZER,,,8653,1003514,,https://coop.hu/uzlet/1003514,,https://coop.hu/
"BETHLEN GÁBOR UTCA 49., AGÁRD, Magyarország, 2484",COOP,,AGÁRD,Magyarország,,{'@spider': 'coop_dac'},,47.1876229,18.607088,CSALÁDI ABC,,,2484,1008715,,https://coop.hu/uzlet/1008715,,https://coop.hu/
"RÁKÓCZI ÚT 18., ÁGASEGYHÁZA, Magyarország, 6076",COOP,,ÁGASEGYHÁZA,Magyarország,,{'@spider': 'coop_dac'},,46.8427055,19.4536106,1. SZ. ABC,,,6076,1001890,,https://coop.hu/uzlet/1001890,,https://coop.hu/
"KOSSUTH ÚT 14/A., AGYAGOSSZERGÉNY, Magyarország, 9441",COOP,,AGYAGOSSZERGÉNY,Magyarország,,{'@spider': 'coop_dac'},,47.6092352,16.9409233,50. SZ. ABC,,,9441,1018850,,https://coop.hu/uzlet/1018850,,https://coop.hu/
"ALKOTMÁNY U. 13., AJKA, Magyarország, 8400",COOP,,AJKA,Magyarország,,{'@spider': 'coop_dac'},,47.105377,17.569332,381.CSARNOK ABC,,,8400,1045130,,https://coop.hu/uzlet/1045130,,https://coop.hu/
"KOSSUTH U. 15., AJKA, Magyarország, 8400",COOP,,AJKA,Magyarország,,{'@spider': 'coop_dac'},,47.106448,17.5617519,383. PIROSKA ABC,,,8400,1045127,,https://coop.hu/uzlet/1045127,,https://coop.hu/
"KOSSUTH U.8., AJKA, Magyarország, 8400",COOP,,AJKA,Magyarország,,{'@spider': 'coop_dac'},,47.108431,17.55856,283 COOP SZUPER AJKA,,,8400,1037606,,https://coop.hu/uzlet/1037606,,https://coop.hu/
"MÓRA F. U. 20., AJKA, Magyarország, 8400",COOP,,AJKA,Magyarország,,{'@spider': 'coop_dac'},,47.1057938,17.551799,MÓRA ABC,,,8400,1043524,,https://coop.hu/uzlet/1043524,,https://coop.hu/
"PETŐFI S. U. 1513/1. HRSZ, AJKA, Magyarország, 8400",COOP,,AJKA,Magyarország,,{'@spider': 'coop_dac'},,47.0978263,17.5626254,284 COOP SZUPER AJKA,,,8400,1037614,,https://coop.hu/uzlet/1037614,,https://coop.hu/
"SZABADSÁG TÉR 9., AJKA, Magyarország, 8400",COOP,,AJKA,Magyarország,,{'@spider': 'coop_dac'},,47.106333,17.5626138,380. ZENIT ABC,,,8400,1045132,,https://coop.hu/uzlet/1045132,,https://coop.hu/
"TŰZOLTÓ U. 1/A., AJKA, Magyarország, 8400",COOP,,AJKA,Magyarország,,{'@spider': 'coop_dac'},,47.108329,17.5666541,382. JUNIOR ABC,,,8400,1045123,,https://coop.hu/uzlet/1045123,,https://coop.hu/
"PADRAGI U. 177., AJKA-PADRAGKÚT, Magyarország, 8451",COOP,,AJKA-PADRAGKÚT,Magyarország,,{'@spider': 'coop_dac'},,47.063618,17.5525683,OÁZIS ABC,,,8451,1044561,,https://coop.hu/uzlet/1044561,,https://coop.hu/
"DÓZSA GYÖRGY ÚT 27., ALAP, Magyarország, 7011",COOP,,ALAP,Magyarország,,{'@spider': 'coop_dac'},,46.8065264,18.6849834,2. SZ. ABC,,,7011,1006559,,https://coop.hu/uzlet/1006559,,https://coop.hu/
"SZT. ISTVÁN U. 2-4., ALATTYÁN, Magyarország, 5142",COOP,,ALATTYÁN,Magyarország,,{'@spider': 'coop_dac'},,47.4240027,20.0391192,419. SZ. COOP ABC ALATTYÁN,,,5142,1000774,,https://coop.hu/uzlet/1000774,,https://coop.hu/
"PESTI U. 34., ALBERTIRSA, Magyarország, 2730",COOP,,ALBERTIRSA,Magyarország,,{'@spider': 'coop_dac'},,47.245176,19.616029,355. SZ. COOP SZUPER ALBERTIRSA,,,2730,1000769,,https://coop.hu/uzlet/1000769,,https://coop.hu/
"VASÚT U. 4., ALBERTIRSA, Magyarország, 2730",COOP,,ALBERTIRSA,Magyarország,,{'@spider': 'coop_dac'},,47.245327,19.612755,346. SZ. COOP ABC ALBERTIRSA,,,2730,1000766,,https://coop.hu/uzlet/1000766,,https://coop.hu/
"ARANY J. ÚT 65., ALDEBRŐ, Magyarország, 3353",COOP,,ALDEBRŐ,Magyarország,,{'@spider': 'coop_dac'},,47.782424,20.236443,8. SZ. COOP  ABC,,,3353,1032692,,https://coop.hu/uzlet/1032692,,https://coop.hu/
"VÖRÖSMARTY U. 5., ALDEBRŐ, Magyarország, 3353",COOP,,ALDEBRŐ,Magyarország,,{'@spider': 'coop_dac'},,47.7885527,20.229974,9. SZ. COOP MINI,,,3353,1032694,,https://coop.hu/uzlet/1032694,,https://coop.hu/
"SPORT U. 1., ALGYŐ, Magyarország, 6750",COOP,,ALGYŐ,Magyarország,,{'@spider': 'coop_dac'},,46.3312925,20.2010234,401. SZ. GYEVI  COOP MAXI ÁRUHÁZ,,,6750,1001568,,https://coop.hu/uzlet/1001568,,https://coop.hu/
"VÁSÁRHELYI ÚT 25., ALGYŐ, Magyarország, 6750",COOP,,ALGYŐ,Magyarország,,{'@spider': 'coop_dac'},,46.3403933,20.2087556,403. SZ. KOSÁRFONÓ COOP ARUHÁZ,,,6750,1001569,,https://coop.hu/uzlet/1001569,,https://coop.hu/
"PETŐFI U. 4., ALMAMELLÉK, Magyarország, 7934",COOP,,ALMAMELLÉK,Magyarország,,{'@spider': 'coop_dac'},,46.1537499,17.8690239,429. SZ. VEGYESBOLT,,,7934,1003925,,https://coop.hu/uzlet/1003925,,https://coop.hu/
"PETŐFI TÉR 4., ALMÁSFÜZITŐ, Magyarország, 2932",COOP,,ALMÁSFÜZITŐ,Magyarország,,{'@spider': 'coop_dac'},,47.7332403,18.2210361,ÉLELMISZERBOLT,,,2932,1028931,,https://coop.hu/uzlet/1028931,,https://coop.hu/
"FŐ ÚT 16., ÁLMOSD, Magyarország, 4285",COOP,,ÁLMOSD,Magyarország,,{'@spider': 'coop_dac'},,47.4167788,21.9806107,114. SZ. COOP ABC,,,4285,1019616,,https://coop.hu/uzlet/1019616,,https://coop.hu/
"KOSSUTH LAJOS UTCA 21/A., ALSÓBERECKI, Magyarország, 3985",COOP,,ALSÓBERECKI,Magyarország,,{'@spider': 'coop_dac'},,48.3439172,21.6904499,158. SZ. ABC,,,3985,1002429,,https://coop.hu/uzlet/1002429,,https://coop.hu/
"ÁRPÁD U. 7., ALSÓNYÉK, Magyarország, 7148",COOP,,ALSÓNYÉK,Magyarország,,{'@spider': 'coop_dac'},,46.203003,18.7371405,334. SZ. COOP MINI ABC,,,7148,1031853,,https://coop.hu/uzlet/1031853,,https://coop.hu/
"ENDRŐDI S.U 26., ALSÓÖRS, Magyarország, 8226",COOP,,ALSÓÖRS,Magyarország,,{'@spider': 'coop_dac'},,46.9894553,17.9769086,426.SZ.FORRÁS COOP SZUPER,,,8226,1035986,,https://coop.hu/uzlet/1035986,,https://coop.hu/
"FŐ ÚT 29/A, ALSÓSZÖLNÖK, Magyarország, 9983",COOP,,ALSÓSZÖLNÖK,Magyarország,,{'@spider': 'coop_dac'},,46.927544,16.20319,14. SZ. VEGYESBOLT,,,9983,1007660,,https://coop.hu/uzlet/1007660,,https://coop.hu/
"DÓZSA GYÖRGY UTCA 7., ALSÓÚJLAK, Magyarország, 9842",COOP,,ALSÓÚJLAK,Magyarország,,{'@spider': 'coop_dac'},,47.0835269,16.85427,11. SZ. VEGYESBOLT,,,9842,1003354,,https://coop.hu/uzlet/1003354,,https://coop.hu/
"KOSSUTH U. 132, ALSÓZSOLCA, Magyarország, 3571",COOP,,ALSÓZSOLCA,Magyarország,,{'@spider': 'coop_dac'},,48.072123,20.8782229,401. SZ. ABC,,,3571,1002270,,https://coop.hu/uzlet/1002270,,https://coop.hu/
"TANÁCS ÚT 32-34., ALSÓZSOLCA, Magyarország, 3571",COOP,,ALSÓZSOLCA,Magyarország,,{'@spider': 'coop_dac'},,48.070016,20.885787,199. SZ. ALSÓZSOLCAI ABC,,,3571,1028110,,https://coop.hu/uzlet/1028110,,https://coop.hu/
"ADY ENDRE UTCA 5., ANARCS, Magyarország, 4546",COOP,,ANARCS,Magyarország,,{'@spider': 'coop_dac'},,48.177211,22.100368,2. SZ. ABC,,,4546,1021794,,https://coop.hu/uzlet/1021794,,https://coop.hu/
"RÁKÓCZI ÚT 275., ANDORNAKTÁLYA, Magyarország, 3399",COOP,,ANDORNAKTÁLYA,Magyarország,,{'@spider': 'coop_dac'},,47.8396021,20.4148004,EGER COOP 117.SZ. ABC ANDORNAK,,,3399,1045510,,https://coop.hu/uzlet/1045510,,https://coop.hu/
"RÁKÓCZI ÚT 91., ANDORNAKTÁLYA, Magyarország, 3399",COOP,,ANDORNAKTÁLYA,Magyarország,,{'@spider': 'coop_dac'},,47.855262,20.4080179,118. SZ. ÜZLET,,,3399,1000754,,https://coop.hu/uzlet/1000754,,https://coop.hu/
"PETŐFI U. 8., ANDRÁSFA, Magyarország, 9811",COOP,,ANDRÁSFA,Magyarország,,{'@spider': 'coop_dac'},,46.9645513,16.7907578,54. SZ. MINI COOP,,,9811,1011195,,https://coop.hu/uzlet/1011195,,https://coop.hu/
"SZÉCHENYI U. 108., APÁTFALVA, Magyarország, 6931",COOP,,APÁTFALVA,Magyarország,,{'@spider': 'coop_dac'},,46.1746409,20.5775207,4300. SZ. ABC,,,6931,1001655,,https://coop.hu/uzlet/1001655,,https://coop.hu/
"FŐ ÚT 106., APÁTISTVÁNFALVA, Magyarország, 9982",COOP,,APÁTISTVÁNFALVA,Magyarország,,{'@spider': 'coop_dac'},,46.8962584,16.2568197,19.SZ.VEGYESBOLT,,,9982,1011170,,https://coop.hu/uzlet/1011170,,https://coop.hu/
"FŐ U. 35., APC, Magyarország, 3032",COOP,,APC,Magyarország,,{'@spider': 'coop_dac'},,47.8041361,19.7012265,12. SZ. ABC,,,3032,1030685,,https://coop.hu/uzlet/1030685,,https://coop.hu/
"IFJÚSÁG U. 17., APC, Magyarország, 3032",COOP,,APC,Magyarország,,{'@spider': 'coop_dac'},,47.7861502,19.696388,8. SZ. ÉLELMISZER,,,3032,1030703,,https://coop.hu/uzlet/1030703,,https://coop.hu/
"PETÔFI U. 26., APC, Magyarország, 3032",COOP,,APC,Magyarország,,{'@spider': 'coop_dac'},,47.8041361,19.7012265,30. SZ. ÉLELMISZERBOLT,,,3032,1030694,,https://coop.hu/uzlet/1030694,,https://coop.hu/
"HUNYADI J. Utca 4., APOSTAG, Magyarország, 6088",COOP,,APOSTAG,Magyarország,,{'@spider': 'coop_dac'},,46.8854342,18.9619732,12. SZ. ÉLELMISZERBOLT,,,6088,1001831,,https://coop.hu/uzlet/1001831,,https://coop.hu/
"ADY ENDRE U. 274/A., ARLÓ, Magyarország, 3663",COOP,,ARLÓ,Magyarország,,{'@spider': 'coop_dac'},,48.1728499,20.25716,530. SZ. COOP ABC,,,3663,1011990,,https://coop.hu/uzlet/1011990,,https://coop.hu/
"ALKOTMÁNY ÚT 2., ARNÓT, Magyarország, 3713",COOP,,ARNÓT,Magyarország,,{'@spider': 'coop_dac'},,48.1296305,20.8591099,407. SZ. ABC,,,3713,1002275,,https://coop.hu/uzlet/1002275,,https://coop.hu/
"SZÉCHENYI ÚT 22., ÁROKTŐ, Magyarország, 3467",COOP,,ÁROKTŐ,Magyarország,,{'@spider': 'coop_dac'},,47.728427,20.9478887,50. SZ ABC,,,3467,1006582,,https://coop.hu/uzlet/1006582,,https://coop.hu/
"KIRÁLYHALMI U. 44., ÁSOTTHALOM, Magyarország, 6783",COOP,,ÁSOTTHALOM,Magyarország,,{'@spider': 'coop_dac'},,46.2010837,19.784188,501.SZ. COOP ABC,,,6783,1035212,,https://coop.hu/uzlet/1035212,,https://coop.hu/
"RÁKÓCZI ÚT 56., ÁSVÁNYRÁRÓ, Magyarország, 9177",COOP,,ÁSVÁNYRÁRÓ,Magyarország,,{'@spider': 'coop_dac'},,47.8322789,17.50077,6.SZ. ÜZLET,,,9177,1006493,,https://coop.hu/uzlet/1006493,,https://coop.hu/
"KOSSUTH ÚT 1., ASZALÓ, Magyarország, 3841",COOP,,ASZALÓ,Magyarország,,{'@spider': 'coop_dac'},,48.2149,20.9696159,11. SZ. COOP ABC,,,3841,1027802,,https://coop.hu/uzlet/1027802,,https://coop.hu/
"KONDOROS TÉR 2, ASZÓD, Magyarország, 2170",COOP,,ASZÓD,Magyarország,,{'@spider': 'coop_dac'},,47.6521922,19.4882179,610. SZ. ABC,,,2170,1004178,,https://coop.hu/uzlet/1004178,,https://coop.hu/
"FÔ U. 51., ATKÁR, Magyarország, 3213",COOP,,ATKÁR,Magyarország,,{'@spider': 'coop_dac'},,47.7191509,19.892132,131. SZ. ABC KISÁRUHÁZ,,,3213,1032663,,https://coop.hu/uzlet/1032663,,https://coop.hu/
"KOSSUTH U. 6., ATTALA, Magyarország, 7252",COOP,,ATTALA,Magyarország,,{'@spider': 'coop_dac'},,46.3775653,18.0648797,295. SZ .COOP MINI ABC,,,7252,1043692,,https://coop.hu/uzlet/1043692,,https://coop.hu/
"ADY ENDRE U. 1., BABÓT, Magyarország, 9351",COOP,,BABÓT,Magyarország,,{'@spider': 'coop_dac'},,47.576391,17.075458,32. SZ. ABC,,,9351,1003265,,https://coop.hu/uzlet/1003265,,https://coop.hu/
"ÁRPÁD U. 22., BARABÁS, Magyarország, 4937",COOP,,BARABÁS,Magyarország,,{'@spider': 'coop_dac'},,48.231841,22.431512,25. SZ. ÉLELMISZER,,,4937,1007651,,https://coop.hu/uzlet/1007651,,https://coop.hu/
"ADY E. UTCA 27, BÁTASZÉK, Magyarország, 7140",COOP,,BÁTASZÉK,Magyarország,,{'@spider': 'coop_dac'},,46.2015857,18.7157531,332.SZ. COOP ABC,,,7140,1033008,,https://coop.hu/uzlet/1033008,,https://coop.hu/
"ÁRPÁD TÉR 12., BERZENCE, Magyarország, 7516",COOP,,BERZENCE,Magyarország,,{'@spider': 'coop_dac'},,46.2088037,17.1479891,266 COOP MINI BERZENCE,,,7516,1036397,,https://coop.hu/uzlet/1036397,,https://coop.hu/
"ALKOTMÁNY U. 27., BOGÁCS, Magyarország, 3412",COOP,,BOGÁCS,Magyarország,,{'@spider': 'coop_dac'},,47.900136,20.534529,209. SZ. COOP ABC,,,3412,1019671,,https://coop.hu/uzlet/1019671,,https://coop.hu/
"ADY ENDRE ÚT  2., BŐNY, Magyarország, 9073",COOP,,BŐNY,Magyarország,,{'@spider': 'coop_dac'},,47.6506644,17.8693113,711. SZ.COOP ABC,,,9073,1020764,,https://coop.hu/uzlet/1020764,,https://coop.hu/
"APÁCZAI CS.J. U. 5., BUDAPEST, Magyarország, 1052",COOP,,BUDAPEST,Magyarország,,{'@spider': 'coop_dac'},,47.497912,19.040235,BOR-TÉKA,,,1052,1035054,,https://coop.hu/uzlet/1035054,,https://coop.hu/
"ÁRPÁD ÚT 153., BUDAPEST, Magyarország, 1042",COOP,,BUDAPEST,Magyarország,,{'@spider': 'coop_dac'},,47.5604749,19.102359,COOP ABC,,,1042,1009057,,https://coop.hu/uzlet/1009057,,https://coop.hu/
"ADY ENDRE U. 20., CSÉNYE, Magyarország, 9611",COOP,,CSÉNYE,Magyarország,,{'@spider': 'coop_dac'},,47.2351389,16.870614,5. SZ. VEGYESBOLT,,,9611,1006332,,https://coop.hu/uzlet/1006332,,https://coop.hu/
"ÁRPÁD U. 6., DARÁNY, Magyarország, 7988",COOP,,DARÁNY,Magyarország,,{'@spider': 'coop_dac'},,45.978119,17.5886039,337. SZ. BOLT,,,7988,1044897,,https://coop.hu/uzlet/1044897,,https://coop.hu/
"ANGYALFÖLD TÉR 17., DEBRECEN, Magyarország, 4031",COOP,,DEBRECEN,Magyarország,,{'@spider': 'coop_dac'},,47.5230669,21.6043736,620.SZ: ABC DEBRECEN,,,4031,1030392,,https://coop.hu/uzlet/1030392,,https://coop.hu/
"ALKOTMÁNY U. 47., DESZK, Magyarország, 6772",COOP,,DESZK,Magyarország,,{'@spider': 'coop_dac'},,46.217986,20.236529,802 SZ.DESZK MAXI  COOP ÁRUHÁZ,,,6772,1001603,,https://coop.hu/uzlet/1001603,,https://coop.hu/
"ÁRPÁD ÚT 10., DETK, Magyarország, 3275",COOP,,DETK,Magyarország,,{'@spider': 'coop_dac'},,47.747319,20.0983361,24. SZ. ABC,,,3275,1016914,,https://coop.hu/uzlet/1016914,,https://coop.hu/
"ÁRPÁD U. 6., DÉVAVÁNYA, Magyarország, 5510",COOP,,DÉVAVÁNYA,Magyarország,,{'@spider': 'coop_dac'},,47.028247,20.9586467,781. SZ. COOP  ABC,,,5510,1043398,,https://coop.hu/uzlet/1043398,,https://coop.hu/
"ADY ENDRE U. 35., EGYHÁZASFALU, Magyarország, 9473",COOP,,EGYHÁZASFALU,Magyarország,,{'@spider': 'coop_dac'},,47.4690752,16.7629229,2. SZ. VEGYESBOLT,,,9473,1003214,,https://coop.hu/uzlet/1003214,,https://coop.hu/
"ARANY J. UT 17., EMŐD, Magyarország, 3432",COOP,,EMŐD,Magyarország,,{'@spider': 'coop_dac'},,47.935055,20.819098,59. SZ. ABC,,,3432,1002749,,https://coop.hu/uzlet/1002749,,https://coop.hu/
"ÁRPÁD U. 2., ESZTÁR, Magyarország, 4124",COOP,,ESZTÁR,Magyarország,,{'@spider': 'coop_dac'},,47.283329,21.7762921,42. SZ. MINI COOP,,,4124,1042648,,https://coop.hu/uzlet/1042648,,https://coop.hu/
"ARANY JÁNOS U. 8., FELSŐCSATÁR, Magyarország, 9794",COOP,,FELSŐCSATÁR,Magyarország,,{'@spider': 'coop_dac'},,47.217155,16.441903,230. SZ. VEGYESBOLT,,,9794,1005345,,https://coop.hu/uzlet/1005345,,https://coop.hu/
"ÁRPÁD FEJEDELEM U. 37., FELSŐZSOLCA, Magyarország, 3561",COOP,,FELSŐZSOLCA,Magyarország,,{'@spider': 'coop_dac'},,48.1096848,20.8721904,404. SZ. ABC,,,3561,1002273,,https://coop.hu/uzlet/1002273,,https://coop.hu/
"ARANY J. U. 2., FÜZESABONY, Magyarország, 3390",COOP,,FÜZESABONY,Magyarország,,{'@spider': 'coop_dac'},,47.7503868,20.4168917,36. SZ. ABC,,,3390,1000836,,https://coop.hu/uzlet/1000836,,https://coop.hu/
"ADY ENDRE U.30-32., GÖD, Magyarország, 2132",COOP,,GÖD,Magyarország,,{'@spider': 'coop_dac'},,47.702511,19.147886,276.SZ. COOP ABC,,,2132,1041997,,https://coop.hu/uzlet/1041997,,https://coop.hu/
"ARANY J. ÚT 10., GÖDÖLLŐ, Magyarország, 2100",COOP,,GÖDÖLLŐ,Magyarország,,{'@spider': 'coop_dac'},,47.603304,19.3630185,90. SZ. ABC,,,2100,1000992,,https://coop.hu/uzlet/1000992,,https://coop.hu/
"ÁRPÁD U. 67., GÖLLE, Magyarország, 7272",COOP,,GÖLLE,Magyarország,,{'@spider': 'coop_dac'},,46.433625,18.014791,62. SZ. ABC,,,7272,1003577,,https://coop.hu/uzlet/1003577,,https://coop.hu/
"AKÁCOS ÚT 17., GÖNC, Magyarország, 3895",COOP,,GÖNC,Magyarország,,{'@spider': 'coop_dac'},,48.4747155,21.2637752,117. SZ. MINI COOP  ABC,,,3895,1009960,,https://coop.hu/uzlet/1009960,,https://coop.hu/
"ARADI U. 54., GÖRBEHÁZA, Magyarország, 4075",COOP,,GÖRBEHÁZA,Magyarország,,{'@spider': 'coop_dac'},,47.8186139,21.235695,15.SZ. VEGYESBOLT,,,4075,1002123,,https://coop.hu/uzlet/1002123,,https://coop.hu/
"ARANY JÁNOS ÚT 10/A., GYÖMÖRE, Magyarország, 9124",COOP,,GYÖMÖRE,Magyarország,,{'@spider': 'coop_dac'},,47.502156,17.563045,717.SZ. MINI COOP ABC,,,9124,1020778,,https://coop.hu/uzlet/1020778,,https://coop.hu/
"ÁRPÁD U. 1., GYÖNGYÖSHALÁSZ, Magyarország, 3212",COOP,,GYÖNGYÖSHALÁSZ,Magyarország,,{'@spider': 'coop_dac'},,47.741287,19.922316,171. SZ. ABC,,,3212,1032657,,https://coop.hu/uzlet/1032657,,https://coop.hu/
"ARANY J. U. 19., HERÉD, Magyarország, 3011",COOP,,HERÉD,Magyarország,,{'@spider': 'coop_dac'},,47.7075326,19.63939,3. SZ. KORONA ABC,,,3011,1030693,,https://coop.hu/uzlet/1030693,,https://coop.hu/
"ALKOTMÁNY U. 1/A, HEVESVEZEKÉNY, Magyarország, 3383",COOP,,HEVESVEZEKÉNY,Magyarország,,{'@spider': 'coop_dac'},,47.5573056,20.3562996,605. SZ. ABC,,,3383,1000603,,https://coop.hu/uzlet/1000603,,https://coop.hu/
"ARANY JÁNOS U. 62/A., JÁNKMAJTIS, Magyarország, 4741",COOP,,JÁNKMAJTIS,Magyarország,,{'@spider': 'coop_dac'},,47.932364,22.660393,10. TISZA - ÉLELMISZER,,,4741,1008855,,https://coop.hu/uzlet/1008855,,https://coop.hu/
"APPONYI TÉR 3., JÁSZBERÉNY, Magyarország, 5100",COOP,,JÁSZBERÉNY,Magyarország,,{'@spider': 'coop_dac'},,47.498844,19.91055,300. SZ.COOP ABC JÁSZBERÉNY,,,5100,1000752,,https://coop.hu/uzlet/1000752,,https://coop.hu/
"APPONYI ÚT 80., JOBBÁGYI, Magyarország, 3063",COOP,,JOBBÁGYI,Magyarország,,{'@spider': 'coop_dac'},,47.8298047,19.6796547,27.SZ.COOP SZUPER,,,3063,1046116,,https://coop.hu/uzlet/1046116,,https://coop.hu/
"ARANY JÁNOS U.17., JOBBÁGYI, Magyarország, 3063",COOP,,JOBBÁGYI,Magyarország,,{'@spider': 'coop_dac'},,47.8313305,19.6764729,16.SZ. BOLT,,,3063,1030688,,https://coop.hu/uzlet/1030688,,https://coop.hu/
"ÁRPÁD U. 2/A., KADARKÚT, Magyarország, 7530",COOP,,KADARKÚT,Magyarország,,{'@spider': 'coop_dac'},,46.2309959,17.6156636,150. SZ. ABC,,,7530,1020168,,https://coop.hu/uzlet/1020168,,https://coop.hu/
"ARANY JÁNOS ÚT 1., KÁNÓ, Magyarország, 3735",COOP,,KÁNÓ,Magyarország,,{'@spider': 'coop_dac'},,48.4276397,20.5991681,81. SZ. COOP ABC,,,3735,1043123,,https://coop.hu/uzlet/1043123,,https://coop.hu/
"ADY ENDRE U. 1., KÁRÁSZ, Magyarország, 7333",COOP,,KÁRÁSZ,Magyarország,,{'@spider': 'coop_dac'},,46.267324,18.317282,MINI COOP ABC,,,7333,1003957,,https://coop.hu/uzlet/1003957,,https://coop.hu/
